producent;naam;beschrijving;voorraad_aantal;eenheidsprijs
Arduino;Arduino Nano 33 BLE;Arduino's tiniest form factor with Bluetooth and Bluetooth  Low Energy and embedded inertial sensor;2;22.80
Raspberry Pi;Raspberry Pi 5 - 8GB;Raspberry Pi 5 bouwt voort op het fenomenale succes van de Raspberry Pi 4. In vergelijking met zijn voorganger levert hij 2-3x hogere CPU-prestaties en een aanzienlijke verbetering van de GPU-prestaties. naast verbeteringen aan camera. beeldscherm en USB-interfacing.;2;87.95
Arduino;Arduino Mega 2560 Rev3;The 8-bit board with 54 digital pins. 16 analog inputs. and 4 serial ports.;3;42.00
Arduino;Arduino Nano;The classic Arduino Nano is the smallest board to build your projects with.;5;21.60
Arduino;Arduino UNO R4 WiFi;The Arduino UNO R4 WiFi merges the RA4M1 microprocessor from Renesas with the ESP32-S3 from Espressif. creating an all-in-one tool for makers with enhanced processing power and a diverse array of new peripherals. With its built-in Wi-Fi  and Bluetooth  capabilities. the UNO R4 WiFi enables makers to venture into boundless creative possibilities. Furthermore. this versatile board boasts a convenient on-board 12x8 LED matrix and a Qwiic connector. offering ample space for innovation and unleashing creativity. This dynamic combination empowers makers to transform their ideas into reality and elevate their projects to unprecedented heights.;5;25.00
SAMIORE ROBOT;Arduino UNO R3;The  Arduino UNO  is the best board to get started with electronics and coding. If this is your first experience tinkering with the platform. the UNO is the most robust board you can start playing with. The UNO is the most used and documented board of the whole Arduino family.;5;4.11
TENSTAR ROBOT;Nodemcu V3;Draadloze Module Ch340 Cp2102 Nodemcu V3 V2 Lua Wifi Internet Of Things Development Board Gebaseerd Esp8266 ESP-12E;5;2.50
Raspberry Pi;Raspberry Pi 4 Model B 4GB + behuizing;De Raspberry Pi 4 Model B 4GB is de populairste van de familie. en de uitvoering die je wil kopen als je de Raspberry Pi als desktop-computer wil gaan gebruiken. Door de 4GB RAM merkt je dat hij bij desktopgebruik wat sneller reageert dan de 2GB uitvoering. Zeker bij multi-tasking. of wat meer geheugen intensieve applicaties zal je de 2GB extra RAM kunnen waarderen.;8;69.95
Raspberry Pi;Raspberry Pi Camera 3;De standaard Raspberry Pi Camera Module 3 is een compacte camera van Raspberry Pi met een beeldhoek van 66 graden. Hij beschikt over een IMX708 12-megapixelsensor met HDR. en heeft fasedetectie autofocus.;8;29.95
Whadda;NODEMCU V2 LUA ESP8266;"De NodeMcu is een open source-firmware en een development kit. die u helpt bij het prototypen van uw Internet of Things"" (IoT) producten met enkele Lua-scriptlijnen.""";10;14.90
Arduino;Arduino UNO R3;The  Arduino UNO  is the best board to get started with electronics and coding. If this is your first experience tinkering with the platform. the UNO is the most robust board you can start playing with. The UNO is the most used and documented board of the whole Arduino family.;15;24.00
Arduino;Arduino Ethernet Shield Rev2;The Arduino Ethernet Shield 2 connects your Arduino to the internet.;15;25.80
